Index,Name,Current_Players,Peak_Players,Hours_Played
1,Counter-Strike 2,"550,079","1,043,494","1,818,773"
2,Dota 2,"300,520","622,920","1,295,114"
3,PUBG: BATTLEGROUNDS,"212,645","472,247","3,257,248"
4,Apex Legends,"130,639","333,027","624,473"
5,NARAKA: BLADEPOINT,"118,737","252,991","295,419"
6,Call of Duty®,"70,339","133,073","491,670"
7,Wallpaper Engine,"67,248","110,228","150,375"
8,Grand Theft Auto V,"64,977","126,543","364,548"
9,Baldur's Gate 3,"54,427","123,116","875,343"
10,Source SDK Base 2007,"53,347","146,101","213,168"
11,Unturned,"49,677","57,820","112,703"
12,Team Fortress 2,"42,055","56,766","253,997"
13,War Thunder,"37,554","75,960","115,429"
14,Lost Ark,"37,381","56,536","1,325,305"
15,Rust,"36,676","74,415","245,243"
16,Warframe,"36,603","60,176","189,837"
17,Football Manager 2024,"33,684","80,765","86,385"
18,Sid Meier's Civilization VI,"28,430","45,530","162,657"
19,MIR4,"27,069","28,741","97,173"
20,ARK: Survival Ascended,"26,957","48,452","98,047"
21,PAYDAY 2,"24,500","33,924","247,709"
22,ARK: Survival Evolved,"22,918","44,627","248,405"
23,Cyberpunk 2077,"22,813","39,923","1,054,388"
24,Tom Clancy's Rainbow Six Siege,"22,617","44,095","201,053"
25,DayZ,"22,385","56,321","69,449"
26,Red Dead Redemption 2,"21,101","41,402","70,914"
27,Lethal Company,"20,025","57,564","57,564"
28,Destiny 2,"19,868","31,083","316,750"
29,Don't Starve Together,"19,606","41,167","115,925"
30,Terraria,"19,371","35,790","489,886"
31,Dead by Daylight,"19,196","37,852","105,093"
32,VRChat,"18,800","23,144","46,814"
33,7 Days to Die,"18,730","37,498","96,827"
34,ELDEN RING,"18,251","35,954","953,426"
35,Stardew Valley,"18,236","30,767","94,879"
36,Hearts of Iron IV,"18,165","36,383","78,108"
37,EA SPORTS FC™ 24,"18,042","42,382","82,287"
38,VPet,"17,403","25,079","85,551"
39,雀魂麻将(MahjongSoul),"17,008","26,230","35,277"
40,Monster Hunter: World,"16,048","37,010","334,684"
41,Project Zomboid,"15,832","28,158","65,505"
42,The Sims™ 4,"15,568","29,177","96,328"
43,Overwatch® 2,"15,089","33,076","75,608"
44,Yu-Gi-Oh! Master Duel,"14,999","27,765","262,689"
45,New World,"14,591","30,681","913,634"
46,Black Desert,"14,524","19,129","60,395"
47,tModLoader,"13,779","26,727","46,667"
48,Age of Empires IV: Anniversary Edition,"13,630","29,139","73,928"
49,RimWorld,"13,438","19,548","60,789"
50,Governor of Poker 3,"13,028","13,101","14,464"
51,Battlefield™ 2042,"12,858","33,458","107,376"
52,Risk of Rain Returns,"12,453","22,962","45,141"
53,Limbus Company,"12,403","20,266","30,225"
54,Football Manager 2023,"12,084","21,991","83,715"
55,The Elder Scrolls V: Skyrim Special Edition,"11,861","22,266","69,906"
56,FINAL FANTASY XIV Online,"11,860","23,955","95,150"
57,Euro Truck Simulator 2,"11,804","42,619","69,754"
58,Mount & Blade II: Bannerlord,"11,404","20,894","248,216"
59,Farming Simulator 22,"11,329","43,721","105,636"
60,Cities: Skylines II,"11,093","22,167","104,697"
61,Spacewar,"11,026","37,070","78,193"
62,SCUM,"10,965","20,248","68,322"
63,Hero's Land,"10,908","16,174","23,320"
64,Left 4 Dead 2,"10,584","23,899","162,399"
65,Europa Universalis IV,"10,351","22,531","48,165"
66,Crusader Kings III,"10,101","19,224","98,872"
67,Starfield,"10,012","22,746","330,723"
68,Sid Meier's Civilization V,"9,986","17,391","91,363"
69,Garry's Mod,"9,618","23,351","73,863"
70,Cookie Clicker,"9,555","12,512","67,867"
71,The Binding of Isaac: Rebirth,"9,554","18,706","70,701"
72,Age of Empires II: Definitive Edition,"9,328","20,125","38,725"
73,"Warhammer 40,000: Darktide","9,264","18,480","108,395"
74,Path of Exile,"9,150","16,422","211,637"
75,Farlight 84,"9,017","15,533","41,396"
76,Valheim,"8,992","25,171","502,387"
77,Satisfactory,"8,987","19,357","34,238"
78,Slay the Spire,"8,874","13,772","33,086"
79,Rocket League,"8,849","34,028","147,632"
80,Backpack Battles Demo,"8,518","15,138","17,710"
81,Cities: Skylines,"8,478","14,261","60,386"
82,Total War: WARHAMMER III,"8,390","16,577","166,754"
83,Russian Fishing 4,"8,352","14,191","16,003"
84,Eternal Return,"8,343","19,003","52,853"
85,Phasmophobia,"8,311","27,036","112,717"
86,Remnant II,"8,236","14,413","110,856"
87,Fallout 4,"8,207","15,066","472,962"
88,Factorio,"8,089","16,101","34,700"
89,Street Fighter™ 6,"7,775","18,507","70,573"
90,Geometry Dash,"7,618","17,054","33,681"
91,Soundpad,"7,430","15,782","21,920"
92,Risk of Rain 2,"7,387","13,719","71,548"
93,The Elder Scrolls Online,"7,350","14,423","49,234"
94,NBA 2K23,"7,282","15,959","59,006"
95,Stellaris,"7,114","10,933","68,602"
96,MapleStory,"7,089","9,886","9,886"
97,Coral Island,"6,948","12,018","12,018"
98,MONSTER HUNTER RISE,"6,910","16,399","231,360"
99,Grounded,"6,894","15,657","32,012"
100,大侠立志传：碧血丹心,"6,825","6,825","28,936"
